Database,Keyword,Tags,Seed keyword,Page,Topic,Page type,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content reference 1,Content reference 2,Content reference 3,Content reference 4,Content reference 5,Content reference 6,Content reference 7,Content reference 8,Content reference 9,Content reference 10,Competitor on TOP 10 #1,Competitor on TOP 10 #2,Competitor on TOP 10 #3,Competitor on TOP 10 #4,Competitor on TOP 10 #5,Competitor on TOP 10 #6,Competitor on TOP 10 #7,Competitor on TOP 10 #8,Competitor on TOP 10 #9,Competitor on TOP 10 #10
au,timber frames sydney,2,Timber Framing Sydney,(non-clustered),2,2,20,0,0,0.99,0,2,2,"0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66",0,,,,,,,,,,,,,,,,,,,,
au,deck builders sydney,2,Deck Builder Sydney,(non-clustered),2,2,480,15,4.49,0.13,3000000,Commercial,"Video, Image, People Also Ask, Related Searches, Local Pack","0.39,0.17,0.14,0.14,0.17,1.00,1.00,0.72,0.59,0.72,0.72,0.72",90,,,,,,,,,,,,,,,,,,,,
au,deck builder sydney,2,Deck Builder Sydney,(non-clustered),2,2,390,24,4.49,0.13,4130000,Commercial,"Image, People Also Ask, Related Searches, Local Pack, Site Links, Video","0.12,0.12,0.66,0.66,0.09,1.00,1.00,0.81,0.81,0.81,0.81,0.81",20,,,,,,,,,,,,,,,,,,,,
au,decking builder sydney,2,Deck Builder Sydney,(non-clustered),2,2,40,0,5.73,0.21,0,2,2,"0.00,0.00,0.00,0.09,0.09,0.81,1.00,0.81,0.36,0.45,0.45,0.45",0,,,,,,,,,,,,,,,,,,,,
au,decking builders sydney,2,Deck Builder Sydney,(non-clustered),2,2,40,19,4.49,0.13,3280000,Commercial,"Local Pack, Video, Related Searches","0.00,0.00,0.07,0.00,0.07,0.64,1.00,0.64,0.35,0.35,0.50,0.64",90,,,,,,,,,,,,,,,,,,,,
au,timber deck builders sydney,2,Deck Builder Sydney,(non-clustered),2,2,40,0,0,0.33,0,2,2,"0.40,0.40,0.40,0.40,0.20,0.80,1.00,0.60,1.00,1.00,0.80,1.00",0,,,,,,,,,,,,,,,,,,,,
au,composite deck builders sydney,2,Deck Builder Sydney,(non-clustered),2,2,30,0,0,0,0,2,2,"0.00,0.00,0.00,0.60,0.80,0.80,1.00,0.80,0.80,1.00",0,,,,,,,,,,,,,,,,,,,,
au,sydney deck builder,2,Deck Builder Sydney,(non-clustered),2,2,30,0,5.73,0.21,0,2,2,"0.00,0.20,0.20,0.00,0.40,0.80,1.00,0.80,1.00,1.00,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,pool deck builder in sydney,2,Deck Builder Sydney,(non-clustered),2,2,20,0,0,0,0,2,2,1.00,0,,,,,,,,,,,,,,,,,,,,
au,pool deck builders sydney,2,Deck Builder Sydney,(non-clustered),2,2,20,0,0,0.04,0,2,2,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",0,,,,,,,,,,,,,,,,,,,,
au,sydney decking builder,2,Deck Builder Sydney,(non-clustered),2,2,20,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.75,0.75,1.00,1.00,1.00,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,best deck builder sydney,2,Deck Builder Sydney,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,fix out carpenter sydney,2,Fix Out Carpenter Sydney,(non-clustered),2,2,20,0,0,0.33,0,2,2,"0.28,0.28,0.28,0.00,0.28,0.00,0.00,0.28,0.28,0.28,0.28,0.28",0,,,,,,,,,,,,,,,,,,,,
au,sydney best carpentry & renovations,2,Renovation Carpentry Sydney,(non-clustered),2,2,10,0,0,0,0,2,2,"0.00,1.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,load bearing wall removal sydney,2,load bearing wall removal sydney,(non-clustered),2,2,20,0,2.75,1,0,2,2,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",0,,,,,,,,,,,,,,,,,,,,
au,load bearing wall removal cost sydney,2,load bearing wall removal sydney,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,sydney cost of removing internal load bearing wall,2,load bearing wall removal sydney,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,structural wall removal sydney,2,structural wall removal sydney,(non-clustered),2,2,0,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry services sydney,2,carpentry services sydney,(non-clustered),2,2,140,33,2.14,0.33,1430000,Commercial,"Local Pack, Image, People Also Ask, Related Searches","0.06,0.09,0.06,0.06,0.09,1.00,1.00,1.00,0.81,0.81,0.65,0.81",90,,,,,,,,,,,,,,,,,,,,
au,sydney carpentry and building services,2,carpentry services sydney,(non-clustered),2,2,40,0,0,0,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.27,0.36,1.00,0.36,0.45,0.36,0.45",0,,,,,,,,,,,,,,,,,,,,
au,carpentry service sydney,2,carpentry services sydney,(non-clustered),2,2,10,0,0,0,0,2,2,"0.00,0.00,0.33,0.33,0.33,1.00,1.00,0.33,0.00,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,sydney carpentry services,2,carpentry services sydney,(non-clustered),2,2,10,0,2.69,0.13,0,2,2,"0.00,0.33,0.33,0.33,0.33,1.00,1.00,0.66,0.33,0.00,0.00,0.00",0,,,,,,,,,,,,,,,,,,,,
au,composite decking sydney,2,decking sydney,(non-clustered),2,2,880,26,3.82,0.95,181,Commercial,"Video, Related Searches, Local Pack, Site Links","0.30,0.30,0.24,0.30,0.24,0.76,1.00,1.00,1.00,1.00,1.00,1.00",20,,,,,,,,,,,,,,,,,,,,
au,decking sydney,2,decking sydney,(non-clustered),2,2,720,30,4.76,0.33,2530000,Commercial,"Local Pack, Site Links, Video, People Also Ask, Related Searches","0.48,0.48,0.59,0.48,0.21,1.00,1.00,0.72,0.72,0.88,0.88,1.00",20,,,,,,,,,,,,,,,,,,,,
au,timber decking sydney,2,decking sydney,(non-clustered),2,2,390,17,2.21,0.39,1480000,Commercial,"Local Pack, Site Links, Video, Related Searches","0.29,0.29,0.36,0.19,0.15,1.00,1.00,0.54,0.44,0.81,0.81,1.00",20,,,,,,,,,,,,,,,,,,,,
au,deck restoration sydney,2,decking sydney,(non-clustered),2,2,320,12,2.83,0.19,2240000,Commercial,"Related Searches, Local Pack, Video, People Also Ask","0.04,0.05,0.05,0.03,0.02,0.20,0.20,0.16,0.20,0.24,0.24,0.24",90,,,,,,,,,,,,,,,,,,,,
au,composite timber decking sydney,2,decking sydney,(non-clustered),2,2,260,32,3.82,0.95,671000,Commercial,"Site Links, Video, Image, Popular Products, Related Searches, Local Pack","0.54,0.35,1.00,0.81,0.54,0.35,0.43,1.00,0.43,0.43,0.35,0.43",20,,,,,,,,,,,,,,,,,,,,
au,deck sanding sydney,2,decking sydney,(non-clustered),2,2,210,7,3.63,0.11,469000,Commercial,"Knowledge Panel, Video, People Also Ask, Related Searches","0.10,0.14,0.10,0.04,0.14,0.81,0.81,0.66,1.00,0.81,0.81,0.81",70,,,,,,,,,,,,,,,,,,,,
au,decks and pergolas sydney,2,decking sydney,(non-clustered),2,2,140,40,4.79,0.44,171000,Commercial,"Local Pack, Video, Related Searches","0.42,0.42,0.42,0.42,0.19,0.65,1.00,0.80,0.42,0.42,0.53,0.42",90,,,,,,,,,,,,,,,,,,,,
au,decks sydney,2,decking sydney,(non-clustered),2,2,140,35,3.67,0.41,11900000,Commercial,"Related Searches, Local Pack, Site Links, Video","0.42,0.42,0.53,0.42,0.34,1.00,1.00,0.65,0.53,0.53,0.53,1.00",20,,,,,,,,,,,,,,,,,,,,
au,deck repair sydney,2,decking sydney,(non-clustered),2,2,140,5,3.4,0.16,135,Commercial,"People Also Ask, Related Searches, Discussions And Forums, Local Pack, Video, Image","0.15,0.15,0.21,0.15,0.09,0.65,0.81,0.65,0.81,1.00,1.00,1.00",90,,,,,,,,,,,,,,,,,,,,
au,deck maintenance sydney,2,decking sydney,(non-clustered),2,2,170,5,0,0.05,0,Commercial,"Local Pack, Video, Related Searches, Discussions And Forums","0.05,0.28,0.05,0.05,0.05,0.53,0.66,0.82,0.66,0.82,0.82,1.00",90,,,,,,,,,,,,,,,,,,,,
au,deck oiling sydney,2,decking sydney,(non-clustered),2,2,110,10,0,0.05,0,Informational,"Knowledge Panel, Site Links, Video, Related Searches","0.07,0.07,0.07,0.07,0.26,0.65,0.80,0.53,0.80,1.00,0.80,1.00",20,,,,,,,,,,,,,,,,,,,,
au,deck repairs sydney,2,decking sydney,(non-clustered),2,2,110,25,5.51,0.18,0,Commercial,"Related Searches, Discussions And Forums, Local Pack, Video","0.19,0.19,0.26,0.15,0.07,0.53,0.80,0.80,0.80,1.00,0.80,1.00",90,,,,,,,,,,,,,,,,,,,,
au,timber deck repairs sydney,2,decking sydney,(non-clustered),2,2,110,23,0,0.33,624000,Commercial,"Local Pack, Video, People Also Ask, Related Searches","0.07,0.07,0.07,0.07,0.11,0.53,0.65,0.53,0.65,0.80,1.00,1.00",90,,,,,,,,,,,,,,,,,,,,
au,timber deck restoration sydney,2,decking sydney,(non-clustered),2,2,110,4,0,0.08,0,Commercial,"Local Pack, Video, Related Searches","0.07,0.11,0.11,0.15,0.15,0.65,0.65,0.53,0.80,1.00,1.00,1.00",90,,,,,,,,,,,,,,,,,,,,
au,best deck restoration sydney,2,decking sydney,(non-clustered),2,2,90,13,0,0.33,1970000,Commercial,"Local Pack, Video, Related Searches, Discussions And Forums","0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.80,1.00,1.00,1.00",90,,,,,,,,,,,,,,,,,,,,
au,carpenter sydney,2,carpenters sydney,(non-clustered),2,2,880,14,3,0.62,45600000,Commercial,"Local Pack, Image, Related Searches","0.54,0.41,0.41,0.41,0.24,0.30,0.30,0.41,0.30,0.30,0.16,0.24",75,,,,,,,,,,,,,,,,,,,,
au,carpenters sydney,2,carpenters sydney,(non-clustered),2,2,480,34,3,0.62,2090000,Commercial,"Image, Related Searches, Local Pack, Video","0.72,0.59,0.59,0.59,0.39,0.39,0.59,0.88,0.39,0.39,0.32,0.32",75,,,,,,,,,,,,,,,,,,,,
au,sydney carpenter,2,carpenters sydney,(non-clustered),2,2,210,28,3,0.62,0,Commercial,"Video, Related Searches","0.11,0.44,0.11,0.81,0.23,0.28,0.54,0.35,0.54,0.28,0.15,0.15",75,,,,,,,,,,,,,,,,,,,,
au,carpenter in sydney,2,carpenters sydney,(non-clustered),2,2,140,15,3,0.62,48000000,Commercial,"Image, Related Searches, Local Pack, Video","0.03,0.01,0.10,0.04,0.02,0.29,0.36,0.29,0.29,0.29,0.15,0.15",90,,,,,,,,,,,,,,,,,,,,
au,sydney carpenters,2,carpenters sydney,(non-clustered),2,2,140,37,3,0.62,2130000,Commercial,"Local Pack, Video, Related Searches, Adwords Middle","0.21,0.12,0.28,0.21,0.21,1.00,0.81,0.81,0.53,0.65,0.34,0.43",75,,,,,,,,,,,,,,,,,,,,
au,carpenter eastern suburbs sydney,2,carpenters sydney,(non-clustered),2,2,70,19,2.99,0.69,104,Commercial,"Local Pack, Related Searches","0.64,0.64,0.64,0.11,0.11,0.52,0.64,0.64,0.29,0.11,0.11,0.11",90,,,,,,,,,,,,,,,,,,,,
au,roof carpenter sydney,2,carpenters sydney,(non-clustered),2,2,70,4,5.93,0.72,0,Commercial,"Image, Related Searches, Local Pack, Video","0.64,0.64,0.64,0.64,0.11,0.41,0.41,0.64,0.23,0.17,0.23,0.23",90,,,,,,,,,,,,,,,,,,,,
au,carpenter hire sydney,2,carpenters sydney,(non-clustered),2,2,40,0,0,0.66,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.27,0.36,1.00,0.36,0.36,0.36,0.45",0,,,,,,,,,,,,,,,,,,,,
au,carpenter inner west sydney,2,carpenters sydney,(non-clustered),2,2,40,3,3.17,0.6,122,Commercial,"Image, Related Searches, Local Pack, Video","0.63,0.63,0.36,0.63,0.18,0.18,0.18,0.18,0.18,0.18,0.18,1.00",90,,,,,,,,,,,,,,,,,,,,
au,framing carpenters sydney,2,carpenters sydney,(non-clustered),2,2,40,0,2.87,0.99,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.63,0.63,1.00,0.45,0.27,0.27,0.27",0,,,,,,,,,,,,,,,,,,,,
au,sydney carpentry,2,carpentry sydney,(non-clustered),2,2,210,28,2.82,0.62,3850000,Commercial,"Image, People Also Ask, Related Searches, Local Pack, Video","0.01,0.02,0.03,0.03,0.05,0.20,0.36,1.00,0.20,0.20,0.16,0.16",75,,,,,,,,,,,,,,,,,,,,
au,carpentry sydney,2,carpentry sydney,(non-clustered),2,2,320,28,3,0.62,3460000,Commercial,"Local Pack, Video, Related Searches","0.44,0.35,0.35,0.44,0.23,0.81,0.81,1.00,0.81,0.81,0.66,0.66",75,,,,,,,,,,,,,,,,,,,,
au,commercial carpentry sydney,2,carpentry sydney,(non-clustered),2,2,50,0,8.89,0.9,1670000,Commercial,"Local Pack, Video, Related Searches","0.00,0.07,0.07,0.07,0.00,0.64,0.78,0.78,1.00,0.64,0.07,0.14",0,,,,,,,,,,,,,,,,,,,,
au,carpentry specialist sydney,2,carpentry sydney,(non-clustered),2,2,40,0,0,0,0,2,2,"0.00,0.00,0.00,0.11,0.00,0.55,0.55,0.55,0.55,1.00,0.77,0.77",0,,,,,,,,,,,,,,,,,,,,
au,quality carpentry sydney,2,carpentry sydney,(non-clustered),2,2,40,0,2.2,0.33,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.27,0.27,1.00,0.36,0.36,0.36,0.36",0,,,,,,,,,,,,,,,,,,,,
au,roof carpentry sydney,2,carpentry sydney,(non-clustered),2,2,40,0,2.14,0.33,0,2,2,"0.11,0.00,0.11,0.00,0.00,0.77,0.77,1.00,0.55,0.55,0.55,0.55",0,,,,,,,,,,,,,,,,,,,,
au,carpentry and joinery sydney,2,carpentry sydney,(non-clustered),2,2,30,0,0,0.99,0,2,2,"0.28,0.28,0.00,0.28,0.28,0.42,0.57,0.57,0.71,0.71,0.57,0.71",0,,,,,,,,,,,,,,,,,,,,
au,carpentry framer sydney,2,carpentry sydney,(non-clustered),2,2,30,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.71,0.71,0.42",0,,,,,,,,,,,,,,,,,,,,
au,sydney best carpentry,2,carpentry sydney,(non-clustered),2,2,30,0,0,0.33,0,2,2,"0.22,0.22,0.22,0.22,0.22,0.33,0.33,0.44,0.44,0.33,0.44,0.44",0,,,,,,,,,,,,,,,,,,,,
au,carpentry framing sydney,2,carpentry sydney,(non-clustered),2,2,20,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.75,0.75,1.00,1.00,0.75,0.75,0.75",0,,,,,,,,,,,,,,,,,,,,
au,carpentry contractors sydney,2,carpentry contractors sydney,(non-clustered),2,2,90,36,0,0.02,329000,Commercial,"Local Pack, Image, Related Searches","0.11,0.11,0.11,0.11,0.11,0.82,0.82,1.00,1.00,1.00,0.64,0.52",90,,,,,,,,,,,,,,,,,,,,
au,best carpenter in sydney,2,best carpenter sydney,(non-clustered),2,2,20,0,0,0.79,0,2,2,"0.28,0.28,0.28,0.28,0.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28",0,,,,,,,,,,,,,,,,,,,,
au,patio builder sydney,2,renovation carpentry sydney,(non-clustered),2,2,260,39,0,0.06,129,Commercial,"Image, Related Searches, Local Pack, Video","0.02,0.12,0.05,0.12,0.05,0.36,0.44,0.36,0.36,1.00,0.44,0.44",90,,,,,,,,,,,,,,,,,,,,
au,carpenter ryde,2,renovation carpentry sydney,(non-clustered),2,2,30,0,2.82,0.65,0,2,2,"1.00,0.71,0.42,0.57,0.57,0.28,0.28,0.28,0.28,0.28,0.28,0.28",0,,,,,,,,,,,,,,,,,,,,
au,outdoor living construction sydney,2,renovation carpentry sydney,(non-clustered),2,2,30,0,0,0,0,2,2,"0.00,0.00,0.00,0.77,1.00",0,,,,,,,,,,,,,,,,,,,,
au,timber privacy screens sydney,2,renovation carpentry sydney,(non-clustered),2,2,30,0,0,0.99,0,2,2,"0.14,0.14,0.14,0.14,0.00,0.28,0.28,0.21,0.21,0.21,0.21,0.21",0,,,,,,,,,,,,,,,,,,,,
au,carpenter north ryde,2,renovation carpentry sydney,(non-clustered),2,2,10,0,0,0.14,0,2,2,"0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.00,0.00,0.00,0.66,0.66",0,,,,,,,,,,,,,,,,,,,,
au,patio construction sydney,2,renovation carpentry sydney,(non-clustered),2,2,20,0,0,0.33,0,2,2,"0.00,0.00,0.20,0.20,0.00,0.60,0.60,0.80,0.60,0.80,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpentry labour hire sydney,2,renovation carpentry sydney,(non-clustered),2,2,10,0,0,0,0,2,2,"0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.25,0.50,0.50,1.00,0.75",0,,,,,,,,,,,,,,,,,,,,
au,decking ryde,2,renovation carpentry sydney,(non-clustered),2,2,10,0,0,1,0,2,2,"0.28,0.00,0.00,0.00,0.00,0.28,0.28,0.00,0.28,0.28,0.28,0.28",0,,,,,,,,,,,,,,,,,,,,
au,carpenter chatswood,2,carpenter gladesville,(non-clustered),2,2,40,5,2.5,0.89,105,Commercial,"Image, Local Pack, Video","0.27,0.36,0.27,0.27,0.27,0.18,0.27,1.00,0.45,0.45,0.45,0.63",75,,,,,,,,,,,,,,,,,,,,
au,carpenters north shore,2,carpenter gladesville,(non-clustered),2,2,50,0,5.84,0.77,2420000,Informational,"Knowledge Panel, Image, Related Searches, AI Overview","0.09,0.09,0.09,0.09,0.09,0.33,0.33,0.52,0.23,0.33,0.23,0.23",0,,,,,,,,,,,,,,,,,,,,
au,carpenter hills district,2,carpenter gladesville,(non-clustered),2,2,40,0,1.97,0.66,0,2,2,"0.18,0.18,0.18,0.18,0.18,0.36,0.36,0.18,0.18,0.81,1.00,1.00",0,,,,,,,,,,,,,,,,,,,,
au,carpenter inner west,2,carpenter gladesville,(non-clustered),2,2,40,6,3.17,0.6,112,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.63,0.63,0.36,0.63,0.18,0.27,0.27,0.27,0.18,0.27,0.18,1.00",90,,,,,,,,,,,,,,,,,,,,
au,carpenter mosman,2,carpenter gladesville,(non-clustered),2,2,40,7,6.92,0.46,172000,Commercial,"Local Pack, Video, Image, People Also Ask, Related Searches","0.42,0.42,0.28,0.42,0.42,1.00,1.00,0.71,0.42,0.57,1.00,0.71",75,,,,,,,,,,,,,,,,,,,,
au,deck builder inner west,2,carpenter gladesville,(non-clustered),2,2,40,0,0,0,0,2,2,"0.40,1.00,1.00,0.60,0.80,0.60,1.00",0,,,,,,,,,,,,,,,,,,,,
au,decking hills district,2,carpenter gladesville,(non-clustered),2,2,40,0,0,0.33,0,2,2,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.00,0.11,0.41,0.82,1.00",0,,,,,,,,,,,,,,,,,,,,
au,decking north shore,2,carpenter gladesville,(non-clustered),2,2,40,0,0,0.33,0,2,2,"0.14,0.14,0.14,0.14,0.14,0.21,0.21,0.78,0.35,0.50,0.35,0.35",0,,,,,,,,,,,,,,,,,,,,
au,carpenter gladesville,2,carpenter gladesville,(non-clustered),2,2,30,0,0,0.43,0,2,2,"0.42,0.57,0.42,0.42,0.42,0.28,0.28,0.28,0.28,0.28,0.28,0.28",0,,,,,,,,,,,,,,,,,,,,
au,carpenter lane cove,2,carpenter gladesville,(non-clustered),2,2,30,0,2.41,0.64,0,2,2,"0.36,0.36,0.27,0.36,0.36,0.18,0.18,0.18,0.18,0.18,0.18,0.18",0,,,,,,,,,,,,,,,,,,,,
au,carpenter leichhardt,2,carpenter gladesville,(non-clustered),2,2,30,0,2.16,0.33,0,2,2,"0.35,0.50,0.50,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",0,,,,,,,,,,,,,,,,,,,,
au,carpenters hills district,2,carpenter gladesville,(non-clustered),2,2,30,0,3.02,0.99,0,2,2,"0.00,0.18,0.00,0.09,0.00,0.36,0.36,0.27,0.63,1.00,0.27,0.18",0,,,,,,,,,,,,,,,,,,,,
